,train,train_label,val,val_label,test,test_label
0,Case_13-11,0,Case_16-12,0.0,Case_16-03,0.0
1,Case_17-10,0,Case_8-01,0.0,Case_15-12,0.0
2,Case_14-02_apoptosis,1,Case_4-09_apoptosis,1.0,Case_5-04,0.0
3,Case_3-09_apoptosis,1,Case_9-10,0.0,Case_10-03_apoptosis,1.0
4,Case_7-04,0,Case_10-09_apoptosis,1.0,Case_3-03,0.0
5,Case_6-05,0,Case_17-07,0.0,Case_14-12_apoptosis,1.0
6,Case_15-03_apoptosis,1,Case_16-07_apoptosis,1.0,Case_8-02,0.0
7,Case_16-13_apoptosis,1,Case_7-10,0.0,Case_12-11_apoptosis,1.0
8,Case_6-06,0,Case_3-08_apoptosis,1.0,Case_5-05_apoptosis,1.0
9,Case_3-06_apoptosis,1,Case_15-08_apoptosis,1.0,Case_14-05_apoptosis,1.0
10,Case_10-10_apoptosis,1,Case_11-15,0.0,Case_12-02_apoptosis,1.0
11,Case_11-07,0,Case_2-08_apoptosis,1.0,Case_12-07_apoptosis,1.0
12,Case_6-02,0,Case_5-07,0.0,Case_4-08_apoptosis,1.0
13,Case_1-04_apoptosis,1,Case_7-08,0.0,Case_4-02_apoptosis,1.0
14,Case_13-04_apoptosis,1,Case_11-09,0.0,Case_3-02,0.0
15,Case_8-04,0,Case_10-04,0.0,Case_15-05_apoptosis,1.0
16,Case_10-05,0,Case_16-11,0.0,Case_4-01_apoptosis,1.0
17,Case_7-12,0,Case_15-09_apoptosis,1.0,Case_4-03_apoptosis,1.0
18,Case_3-05,0,Case_7-03,0.0,Case_12-04_apoptosis,1.0
19,Case_16-08,0,Case_15-01,0.0,Case_13-07,0.0
20,Case_16-06,0,Case_7-06,0.0,Case_7-05,0.0
21,Case_2-07_apoptosis,1,Case_13-05,0.0,Case_9-03_apoptosis,1.0
22,Case_17-12_apoptosis,1,Case_9-08_apoptosis,1.0,Case_1-06_apoptosis,1.0
23,Case_8-03,0,Case_13-02,0.0,Case_17-01,0.0
24,Case_1-01_apoptosis,1,,,Case_17-02,0.0
25,Case_17-03,0,,,,
26,Case_14-03_apoptosis,1,,,,
27,Case_1-08_apoptosis,1,,,,
28,Case_9-07_apoptosis,1,,,,
29,Case_12-09_apoptosis,1,,,,
30,Case_10-02_apoptosis,1,,,,
31,Case_17-09,0,,,,
32,Case_2-01_apoptosis,1,,,,
33,Case_15-11_apoptosis,1,,,,
34,Case_1-02_apoptosis,1,,,,
35,Case_12-01_apoptosis,1,,,,
36,Case_13-06,0,,,,
37,Case_17-06_apoptosis,1,,,,
38,Case_4-06,0,,,,
39,Case_2-03,0,,,,
40,Case_9-02,0,,,,
41,Case_6-08_apoptosis,1,,,,
42,Case_15-06_apoptosis,1,,,,
43,Case_12-05_apoptosis,1,,,,
44,Case_6-04,0,,,,
45,Case_6-10,0,,,,
46,Case_1-05_apoptosis,1,,,,
47,Case_3-04,0,,,,
48,Case_14-01,0,,,,
49,Case_9-01,0,,,,
50,Case_14-06_apoptosis,1,,,,
51,Case_17-04,0,,,,
52,Case_2-06_apoptosis,1,,,,
53,Case_1-03_apoptosis,1,,,,
54,Case_10-07,0,,,,
55,Case_14-09_apoptosis,1,,,,
56,Case_12-10_apoptosis,1,,,,
57,Case_16-05_apoptosis,1,,,,
58,Case_14-04_apoptosis,1,,,,
59,Case_17-11,0,,,,
60,Case_2-04_apoptosis,1,,,,
61,Case_4-10,0,,,,
62,Case_1-07,0,,,,
63,Case_14-08,0,,,,
64,Case_6-07,0,,,,
65,Case_17-08,0,,,,
66,Case_4-07_apoptosis,1,,,,
67,Case_14-07_apoptosis,1,,,,
68,Case_2-05,0,,,,
69,Case_7-01,0,,,,
70,Case_6-01,0,,,,
71,Case_16-09_apoptosis,1,,,,
72,Case_9-04_apoptosis,1,,,,
73,Case_16-10_apoptosis,1,,,,
74,Case_11-13,0,,,,
75,Case_14-11_apoptosis,1,,,,
76,Case_16-01_apoptosis,1,,,,
77,Case_7-07,0,,,,
78,Case_15-04,0,,,,
79,Case_10-01_apoptosis,1,,,,
80,Case_5-01,0,,,,
81,Case_15-07,0,,,,
82,Case_11-10,0,,,,
83,Case_15-10,0,,,,
84,Case_12-12_apoptosis,1,,,,
85,Case_13-03,0,,,,
86,Case_17-05,0,,,,
87,Case_2-02_apoptosis,1,,,,
88,Case_4-04_apoptosis,1,,,,
89,Case_3-10,0,,,,
90,Case_3-07,0,,,,
91,Case_9-05,0,,,,
92,Case_13-01,0,,,,
93,Case_5-08,0,,,,
94,Case_12-03_apoptosis,1,,,,
95,Case_12-06_apoptosis,1,,,,
96,Case_10-06_apoptosis,1,,,,
97,Case_13-10_apoptosis,1,,,,
98,Case_13-12_apoptosis,1,,,,
99,Case_7-02,0,,,,
100,Case_11-12,0,,,,
101,Case_11-11,0,,,,
102,Case_4-05_apoptosis,1,,,,
103,Case_5-02,0,,,,
104,Case_16-02,0,,,,
105,Case_6-03_apoptosis,1,,,,
106,Case_3-01_apoptosis,1,,,,
107,Case_16-04,0,,,,
108,Case_10-08_apoptosis,1,,,,
109,Case_7-09,0,,,,
110,Case_15-02,0,,,,
111,Case_12-08,0,,,,
112,Case_14-10,0,,,,
